frequency,flux,flux_err
1.1840e+15,3.8250e-11,6.0500e-12
1.5590e+15,4.5140e-11,6.8800e-12
4.8420e+25,2.6140e-10,4.1000e-11
1.4600e+17,1.9220e-10,3.0200e-11
1.8530e+17,2.1010e-10,3.6650e-11
2.3500e+17,2.1010e-10,3.6400e-11
3.6700e+17,2.2960e-10,4.4700e-11
5.4010e+17,2.4360e-10,5.0250e-11
8.4350e+17,2.7150e-10,5.8600e-11
1.3170e+18,2.8530e-10,4.7850e-11
1.9970e+18,3.0570e-10,4.8950e-11
1.3360e+23,4.4880e-11,1.6975e-11
4.0860e+23,5.0600e-11,2.1985e-11
1.3160e+24,7.7660e-11,5.1840e-11
4.2380e+24,1.2060e-10,9.2241e-11
1.3190e+25,3.8220e-10,2.8480e-10
4.8420e+25,2.6140e-10,4.1000e-11
8.0920e+25,2.8410e-10,4.5250e-11
1.4360e+26,2.7090e-10,4.5050e-11
2.5470e+26,2.9210e-10,4.6700e-11
4.2570e+26,2.5030e-10,4.0100e-11
7.2870e+26,2.3680e-10,3.9300e-11
1.2320e+27,2.1780e-10,3.4100e-11
2.0850e+27,9.0660e-11,5.5420e-11
